item,itemLabel,fnames,lnames,itemDescription,birth,death,professions,summary
Q3903724,Pietro Buratti,Pietro,Buratti,Italian poet,1772,1832,poet,
Q27999318,Q27999318,,,,1673,1762,,
Q3651551,Camillo Nalin,Camillo,Nalin,Italian poet,1788,1859,poet,
Q3836368,Lodovico Contarini,Lodovico,Contarini,,,1508,,
Q1909342,Matteo Alberti,Matteo,Alberti,Italian architect,1646,1735,architect,
Q64778101,Angelo Pietro Galli,Angelo,,roman-catholic bishop,1763,1812,Catholic priest,
Q3846422,Marco Romano,Marco,Romano,Italian sculptor,,,sculptor,
Q64778101,Angelo Pietro Galli,Angelo,,roman-catholic bishop,1763,1812,Catholic priest,
Q94619125,Franz Grisellini,Franz,,,1717,1783,writer,
Q88884961,Giovanni Da Lezze,Giovanni,,,1260,1328,,
Q85969264,Giacomo Querini,,,,1650,,,
Q17405649,Agostino Mengozzi-Colonna,Agostino,,Italian painter,1701,1800,painter,
Q89121619,Castellano da Bassano,,,author,1270,1333,writer,
Q30126093,Girolamo Orti Manara,Giovanni,,,1769,1845,"poet, literary",
Q3953794,Sebastiano Soldati,Sebastiano,Soldati,,1780,1849,"Catholic priest, catholic deacon",
Q536447,Angelo Querini,Angelo,Querini,Italian politician (1721-1796),1721,1796,politician,
Q55833419,Q55833419,Pietro,,,1494,1546,politician,
Q24188358,"Giuseppe, I Camerata",Giuseppe,,painter (1668-1762),1676,1762,painter,
Q44485306,Q44485306,,,,1429,1502,,
Q3665523,Cesare Rosaroll,Cesare,Rosaroll,,1809,1849,military personnel,
Q15623355,Silvestro Marcantonio Morosini,Silvestro,,Italian catholic bishop,1604,1639,Catholic priest,
Q3605253,Adeodato Ressi,Adeodato,Ressi,Italian economist,1768,1822,"politician, economist",
Q3905365,Pio Enea I Obizzi,Pio,,,1525,1589,,
Q11924256,Giovanni Batista Farinelli,"Giovanni, Jean",,,1665,1720,kapellmeister,
Q17631493,Gianconte Brandolini,,,Italian condottiero,1460,1514,condottiero,
Q41305392,Cecchino da Verona,,,,1406,1464,painter,
Q3876577,Nicolò Ormaneto,Nicolò,,roman-catholic bishop,1515,1577,Catholic priest,
Q18613364,Antonio Florian,Antonio,Florian,Italian painter (1770-1838),1770,1838,painter,
Q47171994,Giovanni Battista Tarsia,Giovanni,,,_:t1,1765,painter,
Q3638070,Benedetto De Luca,Benedetto,De Luca,,1684,1750,"Catholic priest, catholic deacon",
Q28843185,Carlo Ottavio di Colloredo,Carlo,,,1723,1786,,
Q61482867,Zuanne Widmann,,,Venetian politician (active 1789),1800,1900,politician,
Q21334720,Giovanni Marangoni,Giovanni,Marangoni,,1673,1753,archaeologist,
Q2215682,Salvatore Dal Negro,Salvatore,Dal Negro,Italian physicist,1768,1839,"physicist, university teacher",
Q4008320,Valperto,,,,,0899,Catholic priest,
Q3766919,Giovanni Cadonici,Giovanni,Cadonici,Italian historian and writer,1705,1786,"writer, historian",
Q17144141,Antonio Trombetta,Antonio,Trombetta,,1436,1517,Catholic priest,
Q17285362,Alessandro Racchetti,Alessandro,Racchetti,,1789,1854,jurist,
Q60040619,Orazio Guarguanti,Orazio,,,1554,1611,writer,
Q93659474,Francesco Ascentini,,,,1600,1700,"goldsmith, memoirist",
Q96774160,Giovanni Battista Molinari,,,"Italian painter, 1636-after 1682",1638,1682,painter,
Q65953117,Francesco Malacarne,Francesco,,,1779,1855,inventor,
Q3266523,Luigi Priuli,Luigi,Priuli,Italian cardinal (1650-1720),1650,1720,Catholic priest,
Q24707774,Emilio Magrini,Emilio,Magrini,association football player,1900,,association football player,
Q3766887,Giovanni Bragadin,Giovanni,Bragadin,Italian patriarch of venice,1699,1775,"Catholic priest, Patriarchate of Venice",
Q3701284,Damina Damini,,,Italian painter,,1669,painter,
Q1441108,Francesco Marcolini da Forlì,Francesco,,Italian publisher and typographer,1500,1559,"typographer, publisher",
Q94879870,Giovanni Giustinian,,,,1600,1652,envoy,
Q17327784,Francesco Calzolari,Francesco,Calzolari,Italian pharmacist and botanist (1522-1609),1522,1609,"pharmacist, botanist",
Q3768977,Girolamo Redini,Girolamo,,,1460,1524,,
Q16560889,Giuseppe Maria Bressa,Giuseppe,,Italian catholic bishop,1742,1817,Catholic priest,
Q3983901,Teodoro Ragazzoni,Teodoro,,Italian typographer,1401,1600,typographer,
Q60854708,Antonio Martelli,Antonio,Martelli,,1750,,actor,
Q15679697,Leonardo Bufalini,Leonardo,Bufalini,Italian architect,1500,1552,"architect, cartographer",
Q16773711,Gerolamo de Bardi,"Girolamo, Gerolamo",Bardi,Italian friar,1544,1594,Catholic friar,
Q16557269,Francesco III da Carrara,Francesco,,Italian condottiero,1377,1406,condottiero,
Q26265357,Lodovico Carresio,Lodovico,Carresio,,1463,1539,university teacher,
Q52154159,Zaccaria Valaresso,Zaccaria,,,1686,1769,,
Q3616949,Angelo Dalmistro,Angelo,,Italian presbyter,1754,1839,presbyter,
Q32904788,Domenico Maria Pellegrini,Domenico,,,1737,1820,"librarian, religious",
Q3750748,Francesco Trevisan Suarez,Francesco,,,1687,1769,Catholic priest,
Q3750341,Francesco Negri,Francesco,Negri,Italian philologist,1769,1827,philologist,
Q3616949,Angelo Dalmistro,Angelo,,Italian presbyter,1754,1839,presbyter,
Q91123186,Pietro Priuli,Pietro,,,1420,1493,,
Q240781,Giovanni Marchiori,Giovanni,Marchiori,Italian sculptor (1696-1778),1696,1778,sculptor,
Q599952,Antonino Biffi,Antonio,,Italian composer and singer,1666,1736,"composer, singer",
Q59193542,Q59193542,Antonio,Gori,,1691,1757,librettist,
Q737983,Benedetto Vinaccesi,Benedetto,Vinaccesi,Italian composer,1666,1719,"composer, organist",
Q61853857,Q61853857,Filippo,,,,1423,sculptor,
Q55226417,Febo Capella,,,,1420,1482,"ambassador, diplomat, Renaissance humanist",
Q15896909,Giacomo Filippo Spada,Giacomo,,Italian organist and presbyter,1505,1704,"organist, presbyter",
Q55928616,Silvia Curtoni Verza,Silvia,,,1760,1835,writer,
Q15839162,Federico Delfino,Federico,Delfino,"Italian mathematician, astronomer and philosopher",1477,1547,"astronomer, mathematician, philosopher",
Q24262941,Carlo Marin,Carlo,Marin,,1773,1852,"poet, civil servant",
Q63994759,Giovanni Larber,Giovanni,,,1703,1761,physician,
Q54881085,Lucia Barbarigo,Lucia,Barbarigo,,,,Dogaressa,
Q98834023,Girolamo Trento,,,,1713,1784,,
Q54880821,Elena Barbarigo,Elena,Barbarigo,,,,Dogaressa,
Q499658,Ottavio Bertotti Scamozzi,Ottavio,,Italian architect,1719,1790,architect,
